frequency	tag	average_word_count	average_descendant_num	immediate_texts_average_length	URL_example	hivatkozas	preserved_attribute	
17340	<div class=long-img__items long-img--vertical>	0.0	1.0374279123414072	0.0	https://telex.hu/kulfold/2021/09/14/afganisztan-talib-helyszini-riport-fegyverek-csomagellenorzes-kabul-fenykep https://telex.hu/sport/2021/01/18/djokovic-kerelem-kritika-australian-open https://telex.hu/kulfold/2020/10/25/ukrajna-valasztasok-szijjarto-peter https://telex.hu/belfold/2021/07/20/median-felmeres-a-magyar-felnott-lakossag-36-szazaleka-tekintheto-antiszemitanak https://telex.hu/gazdasag/2021/01/18/a-szerencsejatek-zrt-tamogatasai-pataky-attila-meszaros-lorinc-rogan-antal-exfelesege	null	default	 
19391	<img alt=@alt src=@LINK srcset=@LINK>	0.0	0.0	0.0	https://telex.hu/szorakozas/2021/05/17/film-nyar-mozik-vetites-mozimusor-szezon-blockbuster-vetites-forgalmazas https://telex.hu/belfold/2021/06/16/fidesz-kdnp-frakcioules-debrecen-orban-viktor-kordon https://telex.hu/tech/2021/05/05/a-facebook-kitiltotta-a-feluleterol-a-vilag-legoszintebb-reklamkampanyat-vagy-nem https://telex.hu/gazdasag/2021/03/12/ginop-palyazat-felfuggesztese-hatranyos-helyzetu https://telex.hu/napirajz/2021/03/04/lassitva	media_hivatkozas	src	 
7764	<img alt=@alt class=pointer-none loading=lazy src=@LINK srcset=@LINK>	0.0	0.0	0.0	https://telex.hu/belfold/2021/07/21/a-megeroszakolt-felgyujtott-p-henrietta-gyilkosa-kiszabadul https://telex.hu/gazdasag/2021/12/13/semjen-zsolt-nem-sokat-teketoriazott-mar-be-is-nyujtotta-a-nagy-elelmiszerlancokra-lovo-uj-torvenyeket https://telex.hu/sport/2021/03/31/andorra-magyarorszag-vb-selejtezo-fiola https://telex.hu/kulfold/2021/10/24/elfogtak-a-legnagyobb-kolumbiai-drogbarot https://telex.hu/kulfold/2021/02/08/tobb-mint-1-millio-eurot-kernek-london-legkeskenyebb-hazaert	media_hivatkozas	src	 
1853	<svg fill-rule=evenodd stroke-linejoin=round stroke-miterlimit=@NUM viewbox=0 0 10 10>	0.0	1.0	0.0	https://telex.hu/pr-cikk/2021/05/25/a-nap-kerdese-kitarto-nep-a-magyar-x https://telex.hu/tarsadalmi-celu-reklam/2021/10/29/az-artalomcsokkentes-a-konyhaban-kezdodik-philip-morris https://telex.hu/belfold/2021/03/24/dobrev-klara-ketoldali-tudogyulladas-koronavirus https://telex.hu/kult/2021/02/10/borcsok-eniko-temetes-gyasz-vigszinhaz-jotekonysag https://telex.hu/koronavirus/2020/12/26/koronavirus-adatok-fertozes-december-26	null	default	 
1853	<path d=@LONG fill-rule=nonzero>	0.0	0.0	0.0	https://telex.hu/koronavirus/2020/10/15/koronavirus-adatok-fertozottek-halottak-szama-statisztika-korhazban-apoltak https://telex.hu/koronavirus/2020/11/03/meghalt-egy-tiszafuredi-pedagogus-koronavirusban https://telex.hu/belfold/2021/08/03/gyermekpornografia-miatt-tartoztattak-le-egy-volt-jobbikos-gyulai-kepviselojeloltet https://telex.hu/belfold/2021/12/10/keszenleti-rendorseg-fejvadasz-bujkalas-elfogas-tek-matraszentimre https://telex.hu/kulfold/2020/11/10/scooby-doo-rajzfilm-ken-spears-halal	null	default	 
1270	<div class=long-img__items long-img--solo>	0.0	0.9968503937007874	0.0	https://telex.hu/sport/2022/01/25/forma-1-sorozat-technikai-fejlesztes-hatkereku-versenyauto-tyrrell-p34-williams-ferrari https://telex.hu/kulfold/2021/12/13/tornado-amerikai-egyesult-allamok-usa-fotok-pusztitas https://telex.hu/belfold/2021/12/01/matyomintas-pixelcsikokat-kapott-az-uj-neprajzi-muzeum https://telex.hu/foto/2022/01/14/tiz-eve-halt-meg-bernathy-sandor-a-e-bizottsag-alapito-nagykep https://telex.hu/foto/2021/08/13/mikrofoto-mikroszkopos-fotozas-koronavirus-vakcina-kristaly	null	default	 
65	<div class=long-img__items long-img--top>	0.0	2.0	0.0	https://telex.hu/komplex/2021/12/23/olyan-munkat-vegzek-el-amit-ott-nem-vegezne-el-senki https://telex.hu/komplex/2021/10/27/mol-torony https://telex.hu/komplex/2021/09/25/merkel-portre-nemetorszag-cdu-palya-eu-vilag-kohl-eurovalsag-menekultvalsag https://telex.hu/komplex/2021/09/09/ime-a-szelsojobbos-ultrak-akik-bajba-kevertek-a-magyar-valogatottat https://telex.hu/komplex/2021/08/10/bulinegyed-belvaros-budapest-szorakozohelyek-szorakozas-ejszakai-elet	null	default	 
3	<img alt=@alt height=@STYLE src=@LINK width=@STYLE>	0.0	0.0	0.0	https://telex.hu/tamogatott-tartalom/2021/12/05/tamogatas-eselyegyenloseg-karacsony-telekom-patronus-angelman https://telex.hu/tamogatott-tartalom/2022/01/12/konnyen-kordaban-tarthatod-kolteseidet-igy-tobb-maradhat-ho-vegen https://telex.hu/pr-cikk/2021/11/29/a-pannonhalmi-levendulamezon-hasznositjak-a-kavekapszulakbol-szarmazo-kavezaccot	media_hivatkozas	src	 
34	<div class=@direktNUM>	0.0	2.0	0.0	https://telex.hu/direkt36/2021/11/12/pegazus-megfigyeles-laborc-sandor-nbh-gyurcsany-kormany-ket-nemzetbiztonsagi-vezetoje https://telex.hu/direkt36/2021/07/20/pegasus-nso-surveillance-hungary-lawyers-bar-association-janos-banati https://telex.hu/direkt36/2021/12/21/kinai-lelegeztetogep-korhaz-egeszsegugy-karbantartas-fustol-direkt36 https://telex.hu/direkt36/2022/01/31/igy-vivtak-meg-a-legujabb-csatat-a-kormanyon-belul-az-egyre-problemasabb-paks-ii-korul https://telex.hu/direkt36/2021/07/23/az-orban-kormany-allamtitkarat-is-megceloztak-a-pegasusszal-mikozben-belharcokat-vivott-paks-ii-miatt	null	default	 
34	<svg fill-rule=evenodd stroke-linejoin=round stroke-miterlimit=@NUM viewbox=0 0 64 49>	0.0	1.0	0.0	https://telex.hu/direkt36/2021/12/23/iphone-pegasus-telefon-megfigyeles-kemszoftver-ellenorzes https://telex.hu/direkt36/2021/07/19/hogyan-tudjak-feltorni-a-telefonomat-es-mit-tehetek-ellene https://telex.hu/direkt36/2021/10/22/izraelben-terroristak-ellen-fejlesztettek-ki-a-pegasust-magyarorszagon-terrorelharitasi-vezetot-celoztak-meg-vele https://telex.hu/direkt36/2022/01/31/igy-vivtak-meg-a-legujabb-csatat-a-kormanyon-belul-az-egyre-problemasabb-paks-ii-korul https://telex.hu/direkt36/2021/09/21/pegazus-megfigyeles-nemeth-daniel-fotos-ujsagiro-ner-elit	null	default	 
34	<path d=@LONG>	0.0	0.0	0.0	https://telex.hu/direkt36/2021/12/13/ader-janos-koztarsasagi-elnok-es-csaladja-legkozelebbi-testoreit-is-megceloztak-a-pegasusszal https://telex.hu/direkt36/2021/09/13/pegasus-pava-zoltan-megfigyeles-szerzodes-gyurcsanyekkal-direkt36 https://telex.hu/direkt36/2021/07/19/pegasus-nso-hungary-viktor-orban-cyberweapon https://telex.hu/direkt36/2021/07/19/egy-kemfilmbe-illo-sztori-a-ket-megfigyelt-direkt36-os-ujsagiro-beszamoloja https://telex.hu/direkt36/2021/12/21/kinai-lelegeztetogep-korhaz-egeszsegugy-karbantartas-fustol-direkt36	null	default	 
2	<iframe frameborder=@NUM height=@STYLE marginheight=@STYLE marginwidth=@STYLE scrolling=no src=@LINK width=@STYLE>	0.0	0.0	0.0	https://telex.hu/tamogatott-tartalom/2021/10/11/a-jo-haz-draga-mulatsag-a-rossz-meg-inkabb-wienerberger https://telex.hu/tamogatott-tartalom/2021/11/18/szetcuccozva-a-szerkesztosegben-okoseszkoz-huawei-nova9-hms	beagyazott_tartalom	src	 
7	<img alt=@alt loading=lazy src=@LINK srcset=@LINK>	0.0	0.0	0.0	https://telex.hu/sport/2021/02/11/eolo-kometa-fetter-erik-giro-d-italia-ket-magyar-bringas https://telex.hu/belfold/2021/06/16/pecs-komlo-ellenzeki-elovalasztas-szakacs-laszlo-mszp-barany-megye-2-valasztokerulet https://telex.hu/kulfold/2021/06/20/jurgen-connings-belgium-holttest-szelsojobboldali-katona-hajtovadaszat https://telex.hu/belfold/2021/02/18/a-nagy-es-trocsanyi-ugyvedi-irodaban-kinevelt-ugyvedet-jelolt-az-unios-birosag-tagjanak-varga-judit https://telex.hu/belfold/2020/11/13/500-meter-kijarasi-tilalom-kutyasetaltatas-terkep	media_hivatkozas	src	 
142	<div class=chapter--number>	0.0	0.0	0.0	https://telex.hu/komplex/2021/10/13/ivermectin-koronavirus-jarvany-kutatasok-oltasellenesek https://telex.hu/komplex/2021/07/26/a-kormanyzat-szerint-soha-ekkora-segitseget-nem-kapott-a-fovaros-de-kozben-igen-szelektiv-a-keruletek-tamogatasa-1 https://telex.hu/komplex/2021/11/19/vasut-nemzetkozi-vonat-kisiklas-eu-milliardok-investigate-europe https://telex.hu/komplex/2021/07/26/roma-integracio-roma-fejlesztes-ciganyugy-autonomia-alapitvany https://telex.hu/komplex/2022/02/07/favipiravir-hatasossag-ogyei-remhirterjesztes-per-antiviralis-gyogyszerek-paxlovid-molnupiravir-covid	null	default	 
25	<input id=hidden-quiz type=checkbox>	0.0	0.0	0.0	https://telex.hu/sport/2021/04/17/sakkfeladvany-miles-lepes https://telex.hu/sport/2021/10/24/sakkfeladvany-3-lepes-matt-vilagos https://telex.hu/sport/2021/06/06/nimzovics-nagymesteri-befejezes-sakkfeladvany https://telex.hu/kult/2021/11/27/van-bennem-valami-ami-vonzza-a-nezettseget https://telex.hu/sport/2021/02/28/sakkfeladvany-madl-ildiko-jatszma	null	default	 
2	<figure class=media target=@target>	0.0	1.0	0.0	https://telex.hu/kulfold/2020/12/08/angol-kiralyno-erzsebet-lopas-alkalmazott https://telex.hu/belfold/2020/11/10/demografia-osszefoglalo-fidesz-nepesedespolitika-2020	media_tartalom	default	 
4	<img alt=@alt border=@NUM height=@STYLE src=@LINK width=@STYLE>	0.0	0.0	0.0	https://telex.hu/tamogatott-tartalom/2021/06/09/a-koronavirus-utan-a-setalas-is-nehezere-esett-megis-ott-lesz-tokioban-a-magyar-evezos https://telex.hu/tamogatott-tartalom/2021/06/16/haromeves-kora-ota-egyetlen-edzest-sem-hagyott-ki-peldakepei-szoboszlai-es-puskas https://telex.hu/tamogatott-tartalom/2021/06/23/ha-itt-esek-ossze-akkor-is-kiuszom-magam https://telex.hu/pr-cikk/2021/12/19/mikent-zoldulhet-az-agrarium-x	media_hivatkozas	src	 
1	<a class=tokio-timetable__label__logo href=@LINK>	0.0	0.0	0.0	https://telex.hu/sport/2021/07/24/tokioi-olimpia-eremtablazat-tokyo2020	hivatkozas	href	 
3	<div class=long-img__items long-img--center>	0.0	2.0	0.0	https://telex.hu/komplex/2021/12/20/kihalo-falvak-aprofalvak-videk-falu-fiatalok-komplex https://telex.hu/komplex/2021/11/02/velencei-to-helyzete-vizszint-vizutanpotlas-termeszet https://telex.hu/komplex/2021/07/23/orban-30-eves-haboruja-a-mediaval	null	default	 
54	<div class=message-box__avatar>	0.0	0.0	0.0	https://telex.hu/komplex/2021/08/02/balaton-vendeglatas-pincer-szakacs-fizetes-langos-arak https://telex.hu/kult/2021/07/24/annyi-minden-voltatok-nekunk-de-leginkabb-az-amik-nem-merunk-lenni-batorsag https://telex.hu/kulfold/2021/09/11/szeptember-11-huszadik-evfordulo-magyar-gyerekek-visszaemlekezesei-teve-trauma-pszichologia https://telex.hu/belfold/2021/10/02/boldog-1-szuletesnapot-telex	null	default	 
2	<img height=@STYLE src=@LINK width=@STYLE>	0.0	0.0	0.0	https://telex.hu/tamogatott-tartalom/2021/12/12/digitalis-tudas-gyerek-latasserult-telekom-idea-informatika https://telex.hu/tamogatott-tartalom/2021/12/17/serult-es-fogyatekkal-elo-emberek-mozgas-es-meditacio-adnijoga-suhanj-telekom	media_hivatkozas	src	 
1	<img loading=lazy src=@LINK srcset=@LINK>	0.0	0.0	0.0	https://telex.hu/belfold/2021/06/17/megyei-varosi-korhaz-centrumkorhaz-szuleszet-struktura-kronikus-agyszaz-csokkentes	media_hivatkozas	src	 
1	<div afraid= are= b= because= billboard= child= class=long-img consultation.= for= government= j= latest= national= of= on= photo:= promoting= propaganda= reads= sexual= slogan= telex= the= you= your=>	0.0	4.0	0.0	https://telex.hu/english/2021/08/16/hungary-referendum-lgbtq-eu-european-commission-ecj	null	default	 
1	<div class=eb-box--header__logo>	0.0	15.0	0.0	https://telex.hu/sport/2021/06/11/euro2020-foci-eb-menetrend-europa-bajnoksag	null	default	 
1	<svg class=eb-box--header__logo--icon fill-rule=nonzero stroke-linejoin=round stroke-miterlimit=@NUM viewbox=0 0 34 36>	0.0	11.0	0.0	https://telex.hu/sport/2021/06/11/euro2020-foci-eb-menetrend-europa-bajnoksag	null	default	 
1	<path d=@LONG fill=#fff>	0.0	0.0	0.0	https://telex.hu/sport/2021/06/11/euro2020-foci-eb-menetrend-europa-bajnoksag	null	default	 
10	<path d=@LONG fill=@NUM>	0.0	0.0	0.0	https://telex.hu/sport/2021/06/11/euro2020-foci-eb-menetrend-europa-bajnoksag	null	default	 
1	<svg class=eb-box--header__logo--txt fill-rule=evenodd stroke-linejoin=round stroke-miterlimit=@NUM viewbox=0 0 73 11>	0.0	1.0	0.0	https://telex.hu/sport/2021/06/11/euro2020-foci-eb-menetrend-europa-bajnoksag	null	default	 
1	<path d=@LONG fill=#fff fill-rule=nonzero>	0.0	0.0	0.0	https://telex.hu/sport/2021/06/11/euro2020-foci-eb-menetrend-europa-bajnoksag	null	default	 
1	<img src=@LINK>	0.0	0.0	0.0	https://telex.hu/pr-cikk/2022/02/11/nem-minden-papir-ami-annak-latszik-x	media_hivatkozas	src	 
7582	<div class=article_img with-image @STYLE placeholder_>	0.0	1.0	0.0	https://telex.hu/koronavirus/2020/11/03/a-legfontosabb-hirek-a-koronavirusrol-kedde/elo https://telex.hu/koronavirus/2020/10/19/koronavirus-korhazi-agy-lelegeztetogep-statisztika-covid https://telex.hu/koronavirus/2020/12/01/koronavirus-covid-19-legfontosabb-hirek-percrol-percre-vakcina-korhaz-fertozes/elo https://telex.hu/koronavirus/2020/11/11/orosz-kinai-vakcina-oltas-koronavirus-jarvany-kockazatos-biztonsagos-szijjarto-peter-pfizer-biontech-astrazeneca https://telex.hu/koronavirus/2020/12/01/kina-koronavirus-kiszivargo-dokumentumok-felretajekoztatott-jarvany-korai-szakasz-cnn	media_tartalom	default	
10393	<figure class=media>	0.0	1.0	0.0	https://telex.hu/koronavirus/2020/12/22/joe-biden-koronavirus-usa-oltas-vakcina-pfizer-biontech https://telex.hu/koronavirus/2021/02/02/szijjarto-szputnyik-koronavirus-oltas-erkezik https://telex.hu/koronavirus/2021/01/25/koronavirus-oltas-pfizer-biontech-masodik-adag-mellekhatas-lorincz-m-akos https://telex.hu/koronavirus/2021/03/30/romania-tuntetesek-zavargas-jarvany https://telex.hu/koronavirus/2021/05/25/koronavirus-magyarorszag-fertozes-napi-adat-oltas	media_tartalom	default	
9026	<br>	0.0	0.0	0.0	https://telex.hu/koronavirus/2020/11/12/koronavirus-adatok-fertozottek-korhaz-magyarorszag-2020-11-12 https://telex.hu/koronavirus/2020/10/26/influenza-deli-felteke-oltas-covid https://telex.hu/koronavirus/2020/11/01/mar-tobb-mint-46-millioan-fertozodtek-meg-koronavirussal-vilagszerte https://telex.hu/koronavirus/2020/11/01/visszavonja-black-friday-kampanyat-az-amazon-franciaorszagban https://telex.hu/koronavirus/2020/10/26/tiz-nap-utan-ujabb-koronavirusos-fertozotteket-talaltak-kinaban	null	default	
182	<div class=article_img with-image @STYLE>	0.0	1.0	0.0	https://telex.hu/koronavirus/2020/11/04/ausztria-koronavirus-korlatozas-szigoritas-pelda-orban-viktor https://telex.hu/koronavirus/2021/01/29/astrazeneca-vakcina-oltas-engedelyezes-eu-unio-europai-gyogyszerugynokseg-ema https://telex.hu/koronavirus/2020/11/22/veroxigen-pulzoximeter-tudogyulladas-koronavirus-covid https://telex.hu/koronavirus/2021/01/29/europa-egyes-reszein-tuproblema-hatraltatja-a-koronavirus-elleni-oltasokat https://telex.hu/koronavirus/2021/01/28/a-kormanynak-nem-kell-tovabb-varnia-a-szakmai-vizsgalatra-rendelettel-csinalt-utat-a-kinai-vakcinanak	null	default	