frequency	tag	average_word_count	average_descendant_num	immediate_texts_average_length	URL_example	normal_name	preserved_attribute
883	<figure>	7.03284258210646	1.55039637599094	0	https://telex.hu/koronavirus/2020/11/07/koronavirus-jarvany-adatok-szamok-statisztika-uj-fertozottek-halottak-aldozatok https://telex.hu/koronavirus/2021/01/09/koronavirus-magyarorszag-adatok-fertozes-jarvany https://telex.hu/koronavirus/2020/12/31/2971-uj-fertozottet-talaltak-a-statisztika-szerint-108-an-haltak-meg-az-elmult-24-oraban https://telex.hu/koronavirus/2020/10/02/trump-koronavirus-video-usa https://telex.hu/koronavirus/2020/11/18/koronavirus-pp-magyarorszag-vilagszerte-1/elo	default	default
130	<p class=adfree>	11	0	11	https://telex.hu/koronavirus/2020/10/12/koronavirus-magyarorszag-adatok-2020-10-12 https://telex.hu/koronavirus/2020/11/27/135-koronavirusos-beteg-halt-meg-az-elmult-24-oraban https://telex.hu/koronavirus/2020/11/23/koronavirus-magyarorszag-jarvany-fertozes-napi-adat-1 https://telex.hu/koronavirus/2020/11/30/koronavirus-hat-orvos-apolo-elhunyt https://telex.hu/koronavirus/2020/11/08/koronavirus-adatok-november-8	default	default
1	<a ad= content-type=ad href=@LINK placeholder= target=@target>	1.0	0.0	1.0	https://telex.hu/koronavirus/2021/01/04/tomeglelegezteto-magyar-kutatas-massventil	hivatkozas	href
2976	<div class=cover-box>	2.0221774193548385	0.4543010752688172	0.0	https://telex.hu/koronavirus/2021/03/23/normafa-jarvany-szabalyok https://telex.hu/koronavirus/2020/11/05/szijjarto-decemberben-kis-mennyisegben-orosz-oltoanyag-jon-magyarorszagra https://telex.hu/koronavirus/2021/04/04/nem-oltjak-be-soron-kivul-a-lelkeszeket https://telex.hu/koronavirus/2021/04/04/vedomaszk-nelkul-tuntetett-tizezer-ember-stuttgartban-a-jarvanykorlatozasok-ellen https://telex.hu/koronavirus/2020/10/05/irorszag-negy-het-bezarkozas-koronavirus	media_tartalom	default
1	<figure class=image @STYLE>	9.0	3.0	0.0	https://telex.hu/belfold/2020/11/13/500-meter-kijarasi-tilalom-kutyasetaltatas-terkep	media_tartalom	default
17	<h3>	4.0	0.11764705882352941	3.6470588235294117	https://telex.hu/koronavirus/2021/05/08/ingyen-covid-teszteles-az-iskolasoknak-pestszentlorincen https://telex.hu/belfold/2021/05/24/szabalyok-5-millio-oltas-vedettsegi-igazolvany-maszk https://telex.hu/tech/2021/04/30/kormany-kibertamadas-tulterheleses-terheleses-tamadas-ddos-vakcina-oltas-regisztracio-idopontfoglalas-osszeomlas https://telex.hu/belfold/2021/05/17/operativ-torzs-majus-17-hetfo https://telex.hu/koronavirus/2021/05/20/megvan-a-megallapodas-az-eu-s-covid-igazolvanyrol-a-keleti-vakcinakra-nem-vonatkozik	cimsor	default
1	<ol>	49.0	3.0	0.0	https://telex.hu/gazdasag/2021/03/10/a-covid-lathatatlan-szektorokra-is-lesujtott-az-allam-minket-elfelejtett	lista	default
455	<p class=bold article__lead>	40.081318681318685	0.002197802197802198	40.07692307692308	https://telex.hu/koronavirus/2021/03/07/8-40-kor-mar-kilometeres-sor-allt-a-soroksari-ikea-elott-1 https://telex.hu/koronavirus/2021/03/05/osszellenzek-a-kormany-osztalyzata-elegtelen-de-ha-ez-nem-lenne-eleg https://telex.hu/koronavirus/2020/12/28/1094-en-kaptak-meg-eddig-a-vedooltast-magyarorszagon https://telex.hu/koronavirus/2021/01/21/szputnyik-v-gyartas-szallitas-magyarorszag https://telex.hu/sport/2021/01/16/australian-open-47-teniszezo-ket-het-karanten-hotel-charter-jarat-koronavirus-covid	vez_bekezdes	default
16	<s>	4.0	0.75	0.25	https://telex.hu/koronavirus/2021/05/07/oltasi-terv-7-millio-beoltott-majus-7-chart https://telex.hu/koronavirus/2021/04/29/oltasi-terv-7-millio-beoltott-aprilis-29-chart https://telex.hu/koronavirus/2021/05/06/oltasi-terv-7-millio-beoltott-majus-6-chart https://telex.hu/koronavirus/2021/05/09/oltasi-terv-7-millio-beoltott-majus-9 https://telex.hu/koronavirus/2021/05/05/oltasi-terv-7-millio-beoltott-majus-5-chart	athuzott	default
12	<td class=right>	1.0	0.0	1.0	https://telex.hu/koronavirus/2020/10/26/influenza-deli-felteke-oltas-covid	oszlop	default
3945	<div>	146.8316856780735	7.277059569074778	0.0	https://telex.hu/koronavirus/2021/01/15/atlepte-a-ketmilliot-a-koronavirus-halalos-aldozatainak-szama https://telex.hu/koronavirus/2020/11/12/ukrajna-cserkaszi-koronavirus-szules https://telex.hu/koronavirus/2020/12/31/operativ-torzs-oltas-egeszsegugyi-dolgozok https://telex.hu/koronavirus/2021/01/17/nagy-britannia-koronavirus-oltas-vakcina-3-5-millio-ember https://telex.hu/koronavirus/2020/12/22/ksh-felmeres-oltas-bizalmatlansag-pfizer-vakcina-mellekhatas	unwrap	default
199	<p class=bold>	33.90954773869347	0.005025125628140704	33.89949748743719	https://telex.hu/koronavirus/2020/10/18/a-40-milliot-kozeliti-a-koronavirus-fertozottek-szama-vilagszerte https://telex.hu/koronavirus/2021/01/12/disney https://telex.hu/koronavirus/2020/11/03/a-legfontosabb-hirek-a-koronavirusrol-kedde/elo https://telex.hu/koronavirus/2020/11/23/berlin-technobuli-130-ember-feloszlatas-rendorseg-koronavirus https://telex.hu/koronavirus/2020/11/23/koronavirus-vakcinak-harmadik-fazis-astrazeneca-szputnyik-v-moderna-pfizer-janssen	default	default
1155	<div class=article-html-content>	395.75670995671	21.327272727272728	0.0	https://telex.hu/koronavirus/2021/01/04/nemzetkozi-oltokozpont-vakcina-elofoglalast-hirdeto-ceg-hatosagi-vizsgalat-fogyasztovedelem https://telex.hu/koronavirus/2020/12/17/koronavirus-percrol-percre-magyarorszag-vilagszerte-3/elo https://telex.hu/koronavirus/2021/01/27/bill-gates-osszeeskuves-elmelet-mikrochip-vakcina https://telex.hu/koronavirus/2020/11/26/kosarlabda-valogatott-halasztas-eb-selejtezo https://telex.hu/koronavirus/2021/01/06/koronavirus-vakcina-elofoglalas-nemzetkozi-oltokozpont	unwrap	default
13808	<p>	40.0755359212051	0.5598928157589803	38.267598493626885	https://telex.hu/koronavirus/2020/10/07/orvosai-szerint-trump-mar-tunetmentes-az-allapota-stabil-1 https://telex.hu/koronavirus/2020/10/19/kasler-iskola-oszi-szunet-ajanlas https://telex.hu/koronavirus/2020/11/20/koronavirus-vakcina-melyhutes-minusz-70-fok-pfizer-moderna-tarolas https://telex.hu/koronavirus/2021/01/07/alkohol-masodik-hullam-egeszseges-eletmod https://telex.hu/koronavirus/2020/11/03/koronavirus-covid-grafikon-adat-magyarorszag-terjedes-szures-korhaz-lelegeztetogep	bekezdes	default
4464	<a href=@LINK>	4.005600358422939	0.24865591397849462	2.765681003584229	https://telex.hu/koronavirus/2020/10/29/koronavirus-percrol-percre-vilagszerte-magyarorszagon https://telex.hu/koronavirus/2021/01/25/tokioi-olimpia-japan-nyajimmunitas-oltas-kutatas https://telex.hu/koronavirus/2020/12/16/koronavirus-jarvany-percrol-percre-vakcina-covid-19-legfontosabb-hirek/elo https://telex.hu/koronavirus/2020/12/07/koronavirus-percrol-percre-vilagszerte-magyarorszag-1/elo https://telex.hu/koronavirus/2021/01/11/pfizer-vakcina-gyartas-ketmilliard	hivatkozas	href
290	<u>	6.2620689655172415	0.0	6.2620689655172415	https://telex.hu/koronavirus/2020/11/07/szlavik-janos-koronavirus-tomeges-teszteles-oltoanyag-korhazak https://telex.hu/koronavirus/2020/12/24/koronavirus-csutortok-adatok https://telex.hu/koronavirus/2020/12/25/elso-franciaorszagi-eset-a-koronavirus-angliai-valtozatabol https://telex.hu/koronavirus/2020/12/13/nemetorszag-koronavirus-korlatozas-zaras-iskolak-uzletek-karacsony https://telex.hu/koronavirus/2021/01/04/operativ-torzs-tajekoztato-01-04	alahuzott	default
479	<figure class=image>	13.118997912317328	1.966597077244259	0.0	https://telex.hu/belfold/2020/11/17/karacsony-a-budapestiek-tobb-mint-200-milliardot-bukhatnak-orban-vetojaval https://telex.hu/koronavirus/2021/04/16/vakcina-oltas-irigyseg-feltekenyseg-koronavirus-fomo https://telex.hu/koronavirus/2021/04/05/brit-nyitas-koronavirus-enyhites-boris-johnson-sor-aprilis-12-pub https://telex.hu/koronavirus/2021/01/04/nagy-britannia-uj-korlatozasok-koronavirus-jarvany-boris-johnson https://telex.hu/koronavirus/2021/05/03/astrazeneca-2-adagra-4-het-utan-hivjak-az-embereket-automatikusan	media_tartalom	default
405	<figcaption>	15.51604938271605	0.14320987654320988	15.614814814814816	https://telex.hu/koronavirus/2020/12/21/egyesult-kiralysag-lockdown-karantenban-az-orszag-es-jon-a-brexit https://telex.hu/koronavirus/2020/11/05/koronavirus-csutortok-percrol-percre/elo https://telex.hu/koronavirus/2020/11/12/koronavirus-pecs-klinika-sulyos-allapotok https://telex.hu/koronavirus/2020/10/23/vecepapirbol-adnak-ki-belyeget-ausztriaban-a-jarvany-mementojakent https://telex.hu/koronavirus/2021/01/17/muller-cecilia-semmit-sem-erzett-amikor-beoltottak	default	default
180	<div class=cover_image_text>	16.85	0.0	16.85	https://telex.hu/koronavirus/2020/12/23/hosszu-covid-long-covid-kronikus-faradtsag-szovodmeny https://telex.hu/koronavirus/2020/12/03/utanajartunk-a-jarvany-legfurcsabb-statisztikai-jelensegeinek https://telex.hu/koronavirus/2020/11/23/koronavirus-vakcinak-harmadik-fazis-astrazeneca-szputnyik-v-moderna-pfizer-janssen https://telex.hu/koronavirus/2021/01/20/koronavirus-oltas-kotelezove-teheto-allam-munkaado-asboth-marton-tasz-oltasellenesseg-vakcina https://telex.hu/koronavirus/2020/12/15/allami-hekkerek-is-vivjak-a-vakcinahaborut	bekezdes	default
65	<div id=liveblog-items-container>	2130.0	393.4153846153846	0.0	https://telex.hu/koronavirus/2020/12/10/koronavirus-percrol-percre-magyarorszag-kulfold-2/elo https://telex.hu/koronavirus/2020/11/13/koronavirus-percrol-percre-magyarorszag-vilagszerte/elo https://telex.hu/koronavirus/2020/12/05/koronavirus-vilagszerte-adatok/elo https://telex.hu/koronavirus/2020/11/11/koronavirus-pp-vilagszerte-magyarorszag-1/elo https://telex.hu/koronavirus/2020/12/23/nem-csillapodik-a-jarvany-a-magyarok-megis-megrohamoztak-az-uzleteket/elo	default	default
65	<div class=sub-article data-v-5cb55fae=>	2130.0	392.4153846153846	0.0	https://telex.hu/koronavirus/2020/11/19/koronavirus-percrol-percre-vilagszerte-magyarorszag/elo https://telex.hu/koronavirus/2020/11/23/koronavirus-covid-jarvany-adatok-percrol-percre-vakcina/elo https://telex.hu/koronavirus/2020/12/15/koronavirus-percrol-percre-magyarorszag-vilagszerte-2/elo https://telex.hu/koronavirus/2020/12/08/koronavirus-covid-19-fertozes-jarvany-betegseg-vakcina-percrol-percre/elo https://telex.hu/koronavirus/2020/11/25/koronavirus-vakcina-statisztika-napi-hirek-korhaz-egeszsegugy-karanten/elo	default	default
1227	<div class=item data-v-5cb55fae=>	112.8361858190709	19.788101059494704	0.0	https://telex.hu/koronavirus/2020/11/26/koronavirus-november-26/elo https://telex.hu/koronavirus/2020/11/22/koronavirus-vasarnapi-hirek-fertozott/elo https://telex.hu/koronavirus/2020/11/12/koronavirus-pp-2020-11-12/elo https://telex.hu/koronavirus/2020/11/25/koronavirus-vakcina-statisztika-napi-hirek-korhaz-egeszsegugy-karanten/elo https://telex.hu/koronavirus/2020/12/10/koronavirus-percrol-percre-magyarorszag-kulfold-2/elo	kozvetites	default
1227	<div class=subtitle-wrapper data-v-5cb55fae=>	15.754686226568866	13.0	0.0	https://telex.hu/koronavirus/2020/11/23/koronavirus-covid-jarvany-adatok-percrol-percre-vakcina/elo https://telex.hu/koronavirus/2020/11/26/koronavirus-november-26/elo https://telex.hu/koronavirus/2020/12/17/koronavirus-percrol-percre-magyarorszag-vilagszerte-3/elo https://telex.hu/koronavirus/2020/11/22/koronavirus-vasarnapi-hirek-fertozott/elo https://telex.hu/koronavirus/2020/12/09/koronavirus-percrol-percre-vilagszerte-magyarorszag-2/elo	default	default
1227	<div class=article_date data-v-5cb55fae=>	15.754686226568866	9.0	0.0	https://telex.hu/koronavirus/2020/12/10/koronavirus-percrol-percre-magyarorszag-kulfold-2/elo https://telex.hu/koronavirus/2020/12/18/koronavirus-percrol-percre-magyarorszag-kulfold-3/elo https://telex.hu/koronavirus/2020/12/17/koronavirus-percrol-percre-magyarorszag-vilagszerte-3/elo https://telex.hu/koronavirus/2020/12/07/koronavirus-percrol-percre-vilagszerte-magyarorszag-1/elo https://telex.hu/koronavirus/2020/12/10/koronavirus-percrol-percre-magyarorszag-kulfold-2/elo	default	default
1227	<div class=subtitle data-v-5cb55fae=>	8.687856560717197	3.0	0.0	https://telex.hu/koronavirus/2020/12/09/koronavirus-percrol-percre-vilagszerte-magyarorszag-2/elo https://telex.hu/koronavirus/2021/01/21/oltasprogramrol-es-vakcinaigazolasrol-is-kerdezzuk-a-kormanyt/elo https://telex.hu/koronavirus/2020/12/10/koronavirus-percrol-percre-magyarorszag-kulfold-2/elo https://telex.hu/koronavirus/2020/12/18/koronavirus-percrol-percre-magyarorszag-kulfold-3/elo https://telex.hu/koronavirus/2020/12/23/nem-csillapodik-a-jarvany-a-magyarok-megis-megrohamoztak-az-uzleteket/elo	default	default
1227	<h3 data-v-5cb55fae=>	8.687856560717197	1.0	0.0	https://telex.hu/koronavirus/2020/11/20/koronavirus-percrol-percre-magyarorszag-kulfold/elo https://telex.hu/koronavirus/2020/12/18/koronavirus-percrol-percre-magyarorszag-kulfold-3/elo https://telex.hu/koronavirus/2020/11/25/koronavirus-vakcina-statisztika-napi-hirek-korhaz-egeszsegugy-karanten/elo https://telex.hu/koronavirus/2020/12/16/koronavirus-jarvany-percrol-percre-vakcina-covid-19-legfontosabb-hirek/elo https://telex.hu/koronavirus/2020/11/20/koronavirus-percrol-percre-magyarorszag-kulfold/elo	default	default
